x,y,d/dx,d/dy
2.800001E-01,1.600001E-01,-9.934456E+10,-6.923930E+10
2.800001E-01,2.800001E-01,-6.234638E+10,-5.920613E+10
2.800001E-01,4.000001E-01,-3.577137E+10,-4.258168E+10
2.800001E-01,5.200001E-01,-1.965771E+10,-2.795345E+10
2.800001E-01,6.400001E-01,-1.020493E+10,-1.645130E+10
2.800001E-01,7.600000E-01,-4.563152E+09,-7.465422E+09
2.800001E-01,8.800001E-01,-1.080632E+09,-2.713005E+08
2.800001E-01,1.000000E+00,1.149992E+09,5.677700E+09
2.800001E-01,1.120000E+00,2.630075E+09,1.075629E+10
2.800001E-01,1.240000E+00,3.644268E+09,1.521703E+10
2.800001E-01,1.360000E+00,4.359305E+09,1.923078E+10
4.000001E-01,-1.280000E+00,5.649725E+09,-1.320203E+10
4.000001E-01,-1.160000E+00,4.627128E+09,-8.753160E+09
4.000001E-01,-1.040000E+00,3.198524E+09,-3.766676E+09
4.000001E-01,-9.200000E-01,1.160502E+09,1.909574E+09
4.000001E-01,-8.000000E-01,-1.806537E+09,8.430858E+09
4.000001E-01,-6.799999E-01,-6.199857E+09,1.585811E+10
4.000001E-01,-5.599999E-01,-1.275486E+10,2.386489E+10
4.000001E-01,-4.399999E-01,-2.240109E+10,3.100814E+10
4.000001E-01,-3.199999E-01,-3.577246E+10,3.350127E+10
4.000001E-01,-1.999999E-01,-5.163321E+10,2.526561E+10
4.000001E-01,-7.999992E-02,-6.459443E+10,4.197836E+09
4.000001E-01,4.000008E-02,-6.682952E+10,-1.943592E+10
4.000001E-01,1.600001E-01,-5.667557E+10,-3.224110E+10
4.000001E-01,2.800001E-01,-4.094698E+10,-3.263112E+10
4.000001E-01,4.000001E-01,-2.644392E+10,-2.646802E+10
4.000001E-01,5.200001E-01,-1.558034E+10,-1.850067E+10
4.000001E-01,6.400001E-01,-8.101026E+09,-1.080952E+10
4.000001E-01,7.600000E-01,-3.081500E+09,-3.982901E+09
4.000001E-01,8.800001E-01,2.949436E+08,1.959304E+09
4.000001E-01,1.000000E+00,2.599776E+09,7.157783E+09
4.000001E-01,1.120000E+00,4.204253E+09,1.177051E+10
4.000001E-01,1.240000E+00,5.344788E+09,1.593210E+10
4.000001E-01,1.360000E+00,6.172319E+09,1.974785E+10
5.200001E-01,-1.280000E+00,7.578551E+09,-1.422463E+10
5.200001E-01,-1.160000E+00,6.517828E+09,-1.018176E+10
5.200001E-01,-1.040000E+00,5.088568E+09,-5.804697E+09
5.200001E-01,-9.200000E-01,3.141780E+09,-1.057466E+09
5.200001E-01,-8.000000E-01,4.719495E+08,4.037539E+09
5.200001E-01,-6.799999E-01,-3.184895E+09,9.303113E+09
5.200001E-01,-5.599999E-01,-8.110682E+09,1.421865E+10
5.200001E-01,-4.399999E-01,-1.445353E+10,1.763677E+10
